"start";"end";"Als deutschlandweite TEN SING Programmgruppe wollen wir es genau wissen: Wer sind wir bei TEN SING und wie viele? Was beschäftigt euch in den Ortsgruppen und wo können wir unterstützen? Um das herauszufinden, gibt es zwei Fragebögen:";"(1) Diesen, der einmal für die ganze Ortsgruppe ausgefüllt werden sollte (z.B. von jemandem aus dem Leitungsteam): [https://ogy.de/TENSINGortsgruppe]( https://ogy.de/TENSINGortsgruppe)";"(2) Ein Teilnehmendenfragebogen, den alle Teilnehmenden für sich ausfüllen sollen. Bitte schickt dafür diesen Link an alle aus eurer Ortsgruppe: [https://ogy.de/TENSINGteilnehmende]( https://ogy.de/TENSINGteilnehmende)";"Die Umfrage wird 2024 zum ersten Mal durchgeführt und soll ab jetzt einmal pro Jahr kommen. Der Fragebogen wurde aufgrund des Feedbacks von TEN SINGenden aus ganz Deutschland im Rahmen von Fokusgruppen entwickelt. So können wir in einigen Jahren auch sehen, wie sich TEN SING entwickelt. Die Umfrage erfolgt selbstverständlich anonym und kann nicht auf einzelne Teilnehmende zurückverfolgt werden. Auf Wunsch können alle Teilnehmenden die Gesamtauswertungen einsehen.";"Wir freuen uns auf euren Input! Wir werden ihn nutzen, um euch noch besser zu unterstützen – zum Beispiel mit bundesweiten Veranstaltungen, Arbeitshilfen, zusätzlichen Spenden oder ganz anderes…";"Viele Grüße, eure Programmgruppe";"An welchen Tagen finden in einer normalen Schulwoche bei euch TEN SING Veranstaltungen statt?";"Wie viele Stunden trefft ihr euch Montags?";"Wie viele Stunden trefft ihr euch Dienstags?";"Wie viele Stunden trefft ihr euch Mittwochs?";"Wie viele Stunden trefft ihr euch Donnerstags?";"Wie viele Stunden trefft ihr euch Freitags?";"Wie viele Stunden trefft ihr euch Samstags?";"Wie viele Stunden trefft ihr euch Sonntags?";"Wie viele Auftritte (z. B. Show, Auftritte in Gottesdiensten) hatte eure Gruppe im letzten Schuljahr?";"Welche Workshops werden bei euch vor Ort angeboten?";"Gibt es bei euch vor Ort eine:n hauptberufliche:n Mitarbeiter:in, der für TEN SING zuständig ist?";"Wie viele Stunden hat (/haben) die Person(en) insgesamt pro Woche für eure TEN SING Gruppe?";"Mitarbeitende (inkl. Leitung):";"Teilnehmende:";"Wie viele Personen identifizieren sich als:";"**Geschlecht:**";"**Mitarbeitende (inkl. Leitung)**";"**Teilnehmende**";"##### Divers";"<span style=""display:none"">divers_1-Mitarbeitende (inkl. Leitung)</span>";"<span style=""display:none"">divers_1-Teilnehmende</span>";"##### Männlich";"<span style=""display:none"">mann_1-Mitarbeitende (inkl. Leitung)</span>";"<span style=""display:none"">mann_1-Teilnehmende</span>";"##### Weiblich";"<span style=""display:none"">frau_1-Mitarbeitende (inkl. Leitung)</span>";"<span style=""display:none"">frau_1-Teilnehmende</span>";"Wie viele Personen gehören zu welchen Altersgruppen?";"**Alter:**";"**Mitarbeitende (inkl. Leitung)**";"**Teilnehmende**";"##### Bis 13 Jahre";"<span style=""display:none"">bis13_1-Mitarbeitende (inkl. Leitung)</span>";"<span style=""display:none"">bis13_1-Teilnehmende</span>";"##### 14-17 Jahre";"<span style=""display:none"">14bis17_1-Mitarbeitende (inkl. Leitung)</span>";"<span style=""display:none"">14bis17_1-Teilnehmende</span>";"##### 18 bis 19 Jahre";"<span style=""display:none"">18bis19_1-Mitarbeitende (inkl. Leitung)</span>";"<span style=""display:none"">18bis19_1-Teilnehmende</span>";"##### 20 Jahre und älter";"<span style=""display:none"">20und_1-Mitarbeitende (inkl. Leitung)</span>";"<span style=""display:none"">20und_1-Teilnehmende</span>";"Gibt es bei euch vor Ort gerade Probleme neue Teilnehmende zu finden?";"Welche Maßnahmen setzt ihr vor Ort ein, um neue Teilnehmende zu finden?";"Sonstige";"Wie erfolgreich sind eure Maßnahmen zu Gewinnung von neuen Teilnehmenden?";"Insgesamt";"Werbung bei unseren Veranstaltungen und Vorführungen";"Werbung bei Veranstaltungen der Kirchengemeinde";"Schulprojekte (z. B. Projektwochen)";"Schnupperproben";"Werbung auf Social Media";"Freunde und Bekannte ansprechen";"Sonstige";"Hier aufgeführt sind die meist genannten Bedarfe:";"Angebot von  deutschlandweiten Seminaren / Workshops";"Öffentlichkeitsarbeit / Social Media";"Einheitliche Kommunikations- und Cloudspeicher-Plattform";"Schulung von Teamern / Ehrenamtlichen";"Austausch von Chorsätzen";"Standpunkte bzw. Hilfestellungen zu bestimmten Themen (z. B. Diversity)";"Gewinnung von neuen Teilnehmenden";"Internationale Zusammenarbeit";"Gibt es weiteren Unterstützungsbedarf, der bisher nicht genannt wurde? Wenn ja, kannst du diesen gerne nachfolgend aufführen:";"In welcher Region liegt deine Ortsgruppe?";"Wie heißt deine Ortsgruppe?";"Bitte denke auch noch einmal daran, die zweite Umfrage an alle Mitglieder deiner Ortsgruppe zu senden, falls du das noch nicht getan hast. Hier noch einmal der Link: [https://ogy.de/TENSINGteilnehmende](https://ogy.de/TENSINGteilnehmende)";"_id";"_uuid";"_submission_time";"_validation_status";"_notes";"_status";"_submitted_by";"__version__";"_tags";"_index"
"2024-10-05T00:11:06.730+02:00";"2024-10-05T00:11:14.813+02:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"603304489";"28bacc74-070f-49f1-95c9-8e6455165ce9";"2024-10-04T22:11:15";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"1"
"2024-10-06T18:11:18.574+02:00";"2024-10-06T19:07:30.208+02:00";"";"";"";"";"";"";"Donnerstag";"";"";"";"3";"";"";"";"1";"Chor Tanz Medien Band Kreativ Theater";"Ja";"3";"7";"";"";"";"";"";"";"0";"9";"";"2";"4";"";"5";"21";"";"";"";"";"";"0";"5";"";"1";"23";"";"5";"6";"";"1";"0";"Nein";"Werbung bei unseren Veranstaltungen und Vorführungen Werbung bei Veranstaltungen der Kirchengemeinde (z. B. Veranstaltungen in der Konfirmandenarbeit) Freunde und Bekannte ansprechen Sonstige";"TEN SING-Kleidung und Merch (Aufkleber, Buttons, Armbänder), aber (sehr) hauptsächlich persönliche Ansprache";"";"5";"3";"3";"";"";"";"Sehr erfolgreich (6)";"4";"";"Eher ja";"Eher ja";"Eher ja";"Eher nein";"Ja";"Ja";"Eher nein";"Eher nein";"Eigentlich brauchen wir vor allem Chorsätze. Und bei uns ist die Gewinnung von Mitarbeitenden ein Thema. Die vorhandenen Mitarbeitenden sind überlastet und innerhalb der Gruppe fehlt in manchen Bereichen geeigneter/williger Nachwuchs.";"Thüringen";"Sonneberg";"";"604390362";"1c494565-b755-4c4e-bc0f-a0b25942c409";"2024-10-06T17:07:33";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"2"
"2024-10-07T12:38:46.696+02:00";"2024-10-07T12:41:22.799+02:00";"";"";"";"";"";"";"Montag";"3";"";"";"";"";"";"";"0";"Chor Orga Band Theater Dirigieren / Chorleitung";"Nein";"";"3";"";"";"";"";"";"";"0";"";"";"5";"";"";"7";"";"";"";"";"";"";"0";"";"";"9";"";"";"";"";"";"4";"";"Ja, sehr große Probleme";"Werbung bei unseren Veranstaltungen und Vorführungen Werbung bei Veranstaltungen der Kirchengemeinde (z. B. Veranstaltungen in der Konfirmandenarbeit) Schnupperproben Freunde und Bekannte ansprechen Sonstige";"";"";"3";"4";"4";"";"2";"";"3";"3";"";"Eher nein";"Ja";"Eher ja";"Eher ja";"Bin mir unsicher";"Ja";"Bin mir unsicher";"Eher nein";"";"Nord";"TenSing Oldenburg";"";"604727307";"4bba3e16-386a-494f-97f7-57b515502643";"2024-10-07T10:41:25";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"3"
"2024-10-08T14:06:18.069+02:00";"2024-10-08T14:16:32.454+02:00";"";"";"";"";"";"";"Montag";"3";"";"";"";"";"";"";"3";"Chor Tanz Band Theater Dirigieren / Chorleitung andere Workshops";"Ja";"5";"12";"";"";"";"";"";"";"1";"1";"";"3";"22";"";"10";"23";"";"";"";"";"";"0";"5";"";"7";"21";"";"0";"15";"";"7";"";"Ja, aber nur phasenweise";"Werbung bei unseren Veranstaltungen und Vorführungen Werbung bei Veranstaltungen der Kirchengemeinde (z. B. Veranstaltungen in der Konfirmandenarbeit) Werbung auf Social Media (z. B. Instagram, TikTok) Freunde und Bekannte ansprechen";"";"";"5";"5";"3";"";"";"5";"3";"";"";"Eher ja";"Eher nein";"Nein";"Eher ja";"Eher nein";"Eher ja";"Eher nein";"Eher nein";"";"Ostwestfalen-Lippe";"Versmold";"";"605452557";"6ee6f1d2-36d9-4387-884e-fa4b8082897a";"2024-10-08T12:16:32";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"4"
"2024-10-08T14:09:32.555+02:00";"2024-10-08T14:49:39.903+02:00";"";"";"";"";"";"";"Freitag";"";"";"";"";"3";"";"";"3";"Chor Solo-Gesang Band Theater";"Nein";"";"2";"";"";"";"";"";"";"0";"0";"";"2";"5";"";"0";"9";"";"";"";"";"";"";"11";"";"1 (ist Ende des Jahres 18)";"3";"";"";"";"";"1";"";"Ja, aber nur phasenweise";"Werbung bei unseren Veranstaltungen und Vorführungen Werbung bei Veranstaltungen der Kirchengemeinde (z. B. Veranstaltungen in der Konfirmandenarbeit) Schnupperproben Werbung auf Social Media (z. B. Instagram, TikTok) Freunde und Bekannte ansprechen";"";"";"3";"4";"5";"";"Gar nicht erfolgreich (1)";"Gar nicht erfolgreich (1)";"4";"";"";"Eher ja";"Eher nein";"Eher ja";"Eher ja";"Ja";"Eher nein";"Ja";"Nein";"Gemeinsamer Idee, Spiele, Chorsatz, Theater-Pool zum nachgucken, sodass man ""Rituale"" übernehmen kann";"Niederrhein und Bergischland-Ruhrgebiet (BLRG)";"Solingen";"";"605475551";"ad5acf5f-6133-44b6-9e9c-765c5c3aa412";"2024-10-08T12:49:40";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"5"
"2024-10-08T17:17:56.667+02:00";"2024-10-08T17:22:06.088+02:00";"";"";"";"";"";"";"Freitag";"";"";"";"";"3";"";"";"2";"Chor Tanz Orga Technik Band Theater";"Ja";"";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Ja, aber nur phasenweise";"Werbung bei unseren Veranstaltungen und Vorführungen Freunde und Bekannte ansprechen";"";"";"4";"";"";"";"";"";"4";"";"";"Ja";"Ja";"";"";"";"";"Ja";"Ja";"";"Niederrhein und Bergischland-Ruhrgebiet (BLRG)";"Tensing Hasslinghausen";"";"605578400";"2a794102-a062-4997-849f-16e65458614d";"2024-10-08T15:22:06";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"6"
"2024-10-09T19:21:05.043+02:00";"2024-10-09T19:29:12.370+02:00";"";"";"";"";"";"";"Mittwoch";"";"";"3";"";"";"";"";"2";"Chor Tanz Band Theater";"Nein";"";"3";"";"";"";"";"";"";"0";"0";"";"1";"3";"";"2";"12";"";"";"";"";"";"0";"1";"";"2";"13";"";"1";"1";"";"0";"0";"Ja, sehr große Probleme";"Werbung bei unseren Veranstaltungen und Vorführungen Werbung bei Veranstaltungen der Kirchengemeinde (z. B. Veranstaltungen in der Konfirmandenarbeit) Werbung auf Social Media (z. B. Instagram, TikTok) Freunde und Bekannte ansprechen";"";"";"2";"Gar nicht erfolgreich (1)";"Gar nicht erfolgreich (1)";"";"";"2";"4";"";"";"Eher ja";"Eher ja";"Ja";"Ja";"Ja";"Eher nein";"Ja";"Ja";"";"Niederrhein und Bergischland-Ruhrgebiet (BLRG)";"Borken";"";"606165169";"c67b7eed-7fa9-4d0c-a7c1-f09c081a905c";"2024-10-09T17:29:12";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"7"
"2024-10-11T13:26:35.870+02:00";"2024-10-11T13:40:21.831+02:00";"";"";"";"";"";"";"Montag Donnerstag";"2";"";"";"2";"";"";"";"4";"Chor Tanz Orga Technik Band Kreativ Theater Dirigieren / Chorleitung andere Workshops";"Ja";"11";"14";"";"";"";"";"";"";"0";"2";"";"4";"13";"";"10";"19";"";"";"";"";"";"0";"4";"";"4";"10";"";"2";"9";"";"8";"11";"Nein";"Werbung bei unseren Veranstaltungen und Vorführungen Werbung bei Veranstaltungen der Kirchengemeinde (z. B. Veranstaltungen in der Konfirmandenarbeit) Werbung auf Social Media (z. B. Instagram, TikTok) Freunde und Bekannte ansprechen";"";"";"3";"3";"2";"";"";"2";"5";"";"";"Eher ja";"Eher nein";"Eher nein";"Eher ja";"Eher nein";"Ja";"Eher ja";"Eher ja";"";"Ostwestfalen-Lippe";"Gütersloh";"";"606902557";"73ec451d-14ce-4edf-9afe-d9a4089c5c52";"2024-10-11T11:40:20";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"8"
"2024-10-14T20:09:12.120+02:00";"2024-10-14T20:54:59.272+02:00";"";"";"";"";"";"";"Freitag";"";"";"";"";"3";"";"";"5";"Chor Solo-Gesang Tanz Band Theater";"Nein";"";"9";"";"";"";"";"";"";"0";"0";"";"3";"2";"";"6";"6";"";"";"";"";"";"0";"1";"";"1";"3";"";"3";"2";"";"5";"2";"Ja, sehr große Probleme";"Werbung bei unseren Veranstaltungen und Vorführungen Werbung auf Social Media (z. B. Instagram, TikTok) Freunde und Bekannte ansprechen";"";"";"2";"Gar nicht erfolgreich (1)";"";"";"";"Gar nicht erfolgreich (1)";"4";"";"";"Eher ja";"Nein";"Eher ja";"Ja";"Ja";"Eher nein";"Ja";"Nein";"";"Thüringen";"Weimar";"";"609004220";"26d2cf77-c22f-4bda-af7b-3bfddb37c388";"2024-10-14T18:54:59";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"9"
"2024-10-25T15:34:24.364+02:00";"2024-10-25T15:40:21.257+02:00";"";"";"";"";"";"";"Samstag";"";"";"";"";"";"3";"";"4";"Chor Tanz Orga Technik Band Theater Dirigieren / Chorleitung";"Nein";"";"2";"";"";"";"";"";"";"";"";"";"1";"9";"";"1";"16";"";"";"";"";"";"";"";"";"";"16";"";"";"7";"";"2";"1";"Ja, aber nur phasenweise";"Werbung bei unseren Veranstaltungen und Vorführungen Werbung bei Veranstaltungen der Kirchengemeinde (z. B. Veranstaltungen in der Konfirmandenarbeit) Werbung auf Social Media (z. B. Instagram, TikTok) Freunde und Bekannte ansprechen Sonstige";"Eine Mini TEN SING Gruppe mit Kindern bis zu 13 Jahren, die danach zu TEN SING kommen können";"";"";"5";"4";"";"";"5";"Sehr erfolgreich (6)";"5";"";"Ja";"Eher ja";"Ja";"Ja";"Ja";"Ja";"Ja";"Ja";"";"Ostwestfalen-Lippe";"TEN SING Knetterheide";"";"614562040";"6f1c7e43-3e2d-405a-84d4-16f6428cd204";"2024-10-25T13:40:21";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"10"
"2024-10-25T21:35:32.275+02:00";"2024-10-25T21:41:16.428+02:00";"";"";"";"";"";"";"Donnerstag";"";"";"";"2";"";"";"";"1";"Chor Tanz Theater";"Nein";"";"3";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";"";"2";"";"";"1";"";"";"";"";"Ja, sehr große Probleme";"Werbung bei unseren Veranstaltungen und Vorführungen Freunde und Bekannte ansprechen Sonstige";"";"";"2";"2";"";"";"";"";"3";"4";"";"Eher nein";"Eher ja";"Eher nein";"Ja";"Bin mir unsicher";"Eher ja";"Bin mir unsicher";"Eher nein";"";"Ostwerk";"Zeuthen";"";"614653252";"8701800c-d044-4784-ba80-a847367aaaf4";"2024-10-25T19:41:16";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"11"
"2024-10-27T08:34:53.468+01:00";"2024-10-27T08:42:09.316+01:00";"";"";"";"";"";"";"Montag Samstag";"2";"";"";"";"";"2";"";"1";"Chor Solo-Gesang Tanz Orga Technik Band Theater";"Nein";"";"9";"";"";"";"";"";"";"";"";"";"5";"";"";"10";"";"";"";"";"";"";"";"";"";"6";"";"";"1";"";"";"8";"";"Ja, sehr große Probleme";"Werbung bei unseren Veranstaltungen und Vorführungen Werbung auf Social Media (z. B. Instagram, TikTok) Freunde und Bekannte ansprechen Sonstige";"Werbeaktionen bei Stadtfesten";"";"2";"2";"";"";"";"2";"3";"3";"";"Ja";"Ja";"Ja";"Ja";"Ja";"Ja";"Ja";"Eher ja";"";"Niederrhein und Bergischland-Ruhrgebiet (BLRG)";"Ten Sing Moers";"";"614906418";"6b0309be-d06f-4afa-9a7d-f84652bf2ba7";"2024-10-27T07:42:09";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"12"
"2024-11-04T19:43:35.518+01:00";"2024-11-04T20:12:02.446+01:00";"";"";"";"";"";"";"Freitag";"";"";"";"";"3";"";"";"4";"Chor Tanz Technik Band Kreativ Theater";"Nein";"";"8";"";"";"";"";"";"";"1";"";"";"3";"9";"";"4";"9";"";"";"";"";"";"";"3";"";"1";"6";"";"1";"2";"";"6";"5";"Ja, sehr große Probleme";"Werbung bei unseren Veranstaltungen und Vorführungen Werbung bei Veranstaltungen der Kirchengemeinde (z. B. Veranstaltungen in der Konfirmandenarbeit) Werbung auf Social Media (z. B. Instagram, TikTok) Freunde und Bekannte ansprechen";"";"";"3";"2";"3";"";"";"Gar nicht erfolgreich (1)";"5";"";"";"Bin mir unsicher";"Ja";"Nein";"Eher ja";"Nein";"Eher ja";"Ja";"Bin mir unsicher";"";"Ostwestfalen-Lippe";"TEN SING Lübbecke";"";"617307250";"188a62dd-90dc-42f9-ab70-1624ea680201";"2024-11-04T19:12:03";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"13"
"2024-11-06T20:05:47.507+01:00";"2024-11-06T20:10:04.492+01:00";"";"";"";"";"";"";"Montag";"2";"";"";"";"";"";"";"0";"Chor Tanz Medien Band Theater";"Nein";"";"4";"";"";"";"";"";"";"";"";"";"1";"";"";"9";"";"";"";"";"";"";"0";"";"";"4";"";"";"0";"";"";"6";"";"Ja, sehr große Probleme";"Schulprojekte (z. B. Projektwochen) Werbung auf Social Media (z. B. Instagram, TikTok) Freunde und Bekannte ansprechen";"";"";"3";"";"";"2";"";"2";"4";"";"";"Eher ja";"Ja";"Eher ja";"Eher ja";"Ja";"Eher nein";"Ja";"Ja";"";"Thüringen";"TENSING Erfurt";"";"618069220";"330d1504-da38-44d1-9bc7-2641ad634b24";"2024-11-06T19:10:05";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"14"
"2024-11-07T10:23:11.946+01:00";"2024-11-07T10:32:42.862+01:00";"";"";"";"";"";"";"Freitag";"";"";"";"";"3";"";"";"0";"Solo-Gesang Band Theater";"Nein";"";"3";"";"";"";"";"";"";"1";"";"";"2";"2";"";"1";"3";"";"";"";"";"";"";"";"";"";"2";"";"2";"4";"";"1";"";"Ja, sehr große Probleme";"Werbung bei unseren Veranstaltungen und Vorführungen";"";"";"3";"3";"";"";"";"";"";"";"";"Eher nein";"Eher ja";"Eher nein";"Eher nein";"Eher nein";"Nein";"Ja";"Nein";"";"Ostwestfalen-Lippe";"Münster";"";"618229255";"47ffc595-e41a-4b2a-b00c-a5f937229d4b";"2024-11-07T09:32:43";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"15"
"2024-11-13T08:53:06.610+01:00";"2024-11-13T08:56:11.574+01:00";"";"";"";"";"";"";"Montag";"2.5";"";"";"";"";"";"";"1";"Chor Tanz Theater";"Nein";"";"4";"";"";"";"";"";"";"0";"0";"";"3";"1";"";"1";"5";"";"";"";"";"";"0";"0";"";"0";"4";"";"1";"0";"";"3";"2";"Ja, sehr große Probleme";"Werbung bei unseren Veranstaltungen und Vorführungen Werbung bei Veranstaltungen der Kirchengemeinde (z. B. Veranstaltungen in der Konfirmandenarbeit) Freunde und Bekannte ansprechen";"";"";"Gar nicht erfolgreich (1)";"Gar nicht erfolgreich (1)";"2";"";"";"";"2";"";"";"Ja";"Eher ja";"Eher ja";"Eher ja";"Ja";"Eher nein";"Ja";"Ja";"";"Thüringen";"Rudolstadt";"";"620452194";"9aa4b513-81fb-483e-a11a-cfaa839af409";"2024-11-13T07:56:12";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"16"
